transaction_id,transaction_amount,transaction_type,user_upi_id,transaction_year,transaction_month,transaction_date,transaction_time,Merchant_id,initiation_channel,geo_coordinates_latitude,geo_coordinates_longitude,remote_access_detected,Fraud Type,fraud_label,label_confidence
TXN000309,5258,PAY,user006@okbank,2026,1,22/01/26,16:34:00,MER0168,MANDATE,12.9096750169,77.630621665,No,NONE,No,0.25
TXN001059,25114,PAY,user034@okbank,2026,1,13/01/26,23:09:00,MER0173,COLLECT,12.9628199272,77.5494434176,No,NONE,No,0.25
TXN001219,3702,PAY,user032@okbank,2026,4,21/04/26,9:00:00,MER0015,QR,12.968393582,77.5865107557,No,NONE,No,0.36
TXN002805,6657,PAY,user037@okbank,2026,4,19/04/26,16:11:00,MER0028,INTENT,12.9386154326,77.6455470706,No,NONE,No,0.43
TXN004033,13410,PAY,user009@okbank,2026,3,14/03/26,12:58:00,MER0111,VPA,12.9889202892,77.5786204283,No,NONE,No,0.27
TXN002667,10871,PAY,user031@okbank,2026,1,07/01/26,22:20:00,MER0065,IN_APP,13.008870457,77.5481386361,No,NONE,No,0.15
TXN004216,19091,PAY,user031@okbank,2026,6,23/06/26,17:22:00,MER0011,VPA,12.9980953879,77.5347321924,No,NONE,No,0.29
TXN001041,18839,PAY,user017@okbank,2026,1,23/01/26,18:51:00,MER0056,VPA,12.9476118414,77.5270284665,No,NONE,No,0.16
TXN001723,29478,PAY,user019@okbank,2026,1,09/01/26,20:49:00,MER0156,COLLECT,12.9873570244,77.608448535,No,NONE,No,0.38
TXN001160,20640,PAY,user012@okbank,2026,1,16/01/26,8:16:00,MER0099,ACCOUNT_IFSC,12.9925243906,77.5457436159,No,NONE,No,0.28
TXN004386,19061,PAY,user013@okbank,2026,2,08/02/26,23:02:00,MER0190,IN_APP,13.0207422922,77.6235591818,No,NONE,No,0.15
TXN003628,23482,PAY,user030@okbank,2026,2,17/02/26,22:52:00,MER0114,MANDATE,13.0419815109,77.6116835321,No,NONE,No,0.35
TXN002702,23142,PAY,user032@okbank,2026,1,21/01/26,6:56:00,MER0035,INTENT,12.9654593747,77.6116002313,No,NONE,No,0.4
TXN000235,30299,PAY,user043@okbank,2026,2,16/02/26,21:02:00,MER0048,COLLECT,12.8667645775,77.6057701411,No,QR_DECEPTION,Yes,0.57
TXN001296,27678,PAY,user010@okbank,2026,6,14/06/26,14:54:00,MER0027,ACCOUNT_IFSC,13.1100796189,77.5111015032,No,NONE,No,0.26
TXN002847,30873,PAY,user004@okbank,2026,5,14/05/26,10:15:00,MER0037,ACCOUNT_IFSC,12.9557225735,77.6272143572,No,NONE,No,0.17
TXN004223,24377,PAY,user004@okbank,2026,6,20/06/26,11:48:00,MER0092,INTENT,13.021221633,77.5951442517,No,NONE,No,0.39
TXN003631,6655,PAY,user004@okbank,2026,1,25/01/26,17:17:00,MER0094,VPA,12.9713824251,77.6549129571,No,NONE,No,0.17
TXN002310,11931,PAY,user049@okbank,2026,1,25/01/26,17:14:00,MER0071,QR,12.866187044,77.5996983024,No,NONE,No,0.46
TXN003861,18936,PAY,user044@okbank,2026,3,04/03/26,23:06:00,MER0149,QR,13.0519742178,77.4431778124,No,NONE,No,0.25
TXN000731,14859,PAY,user002@okbank,2026,4,16/04/26,21:03:00,MER0018,INTENT,12.9881299905,77.5532792275,No,NONE,No,0.22
TXN000232,45871,PAY,user045@okbank,2026,4,28/04/26,10:12:00,MER0168,VPA,12.9059671882,77.5623611115,No,REMOTE_ACCESS_FRAUD,Yes,0.84
TXN002547,5144,PAY,user015@okbank,2026,1,15/01/26,22:33:00,MER0168,QR,12.953309291,77.5318328042,No,NONE,No,0.34
TXN004904,7668,PAY,user029@okbank,2026,5,16/05/26,17:51:00,MER0053,QR,13.0238721249,77.5717657506,No,NONE,No,0.23
TXN004858,27822,PAY,user009@okbank,2026,1,23/01/26,21:54:00,MER0115,ACCOUNT_IFSC,13.0697652543,77.498650646,No,NONE,No,0.25
TXN003054,13272,PAY,user007@okbank,2026,2,18/02/26,16:14:00,MER0178,COLLECT,12.9918606987,77.5911745327,No,NONE,No,0.34
TXN001152,16338,PAY,user050@okbank,2026,1,26/01/26,16:40:00,MER0084,INTENT,13.0074494867,77.6234846273,No,NONE,No,0.52
TXN004046,1884,PAY,user029@okbank,2026,2,21/02/26,21:51:00,MER0171,INTENT,12.9753159654,77.5909082704,No,NONE,No,0.29
TXN004875,30347,PAY,user002@okbank,2026,3,23/03/26,15:44:00,MER0038,VPA,12.9072809403,77.6103752112,No,NONE,No,0.47
TXN003616,16253,PAY,user008@okbank,2026,6,01/06/26,15:38:00,MER0081,QR,12.9965920929,77.6116503992,No,NONE,No,0.3
TXN004171,4247,PAY,user003@okbank,2026,1,14/01/26,19:00:00,MER0049,MOBILE,13.0081925354,77.6159914793,No,NONE,No,0.34
TXN002929,7325,PAY,user010@okbank,2026,2,13/02/26,3:40:00,MER0044,INTENT,13.0493969385,77.5333337819,No,NONE,No,0.17
TXN001327,4717,PAY,user029@okbank,2026,3,05/03/26,17:39:00,MER0051,VPA,12.9538262032,77.5926525261,No,NONE,No,0.26
TXN004645,14019,PAY,user009@okbank,2026,6,13/06/26,3:02:00,MER0107,INTENT,13.01857004,77.6135522731,No,NONE,No,0.11
TXN001330,18597,PAY,user031@okbank,2026,2,11/02/26,4:59:00,MER0191,IN_APP,12.9499326899,77.5709005336,No,NONE,No,0.17
TXN004578,14029,PAY,user014@okbank,2026,3,13/03/26,18:17:00,MER0071,QR,12.9524149976,77.5510455846,No,NONE,No,0.51
TXN002161,24698,PAY,user021@okbank,2026,3,12/03/26,16:10:00,MER0183,MOBILE,12.9844524947,77.4963001513,No,NONE,No,0.22
TXN004464,100,PAY,user046@okbank,2026,5,06/05/26,14:02:00,MER0051,IN_APP,12.9718839904,77.5911001316,No,NONE,No,0.39
TXN000604,16829,PAY,user028@okbank,2026,1,20/01/26,16:18:00,MER0195,COLLECT,13.012890222,77.6456724322,No,NONE,No,0.37
TXN004322,25473,PAY,user029@okbank,2026,4,08/04/26,12:05:00,MER0020,MANDATE,13.0008843492,77.5954170542,No,NONE,No,0.42
TXN001272,100,PAY,user027@okbank,2026,6,05/06/26,13:05:00,MER0151,IN_APP,12.8851253936,77.5558031191,No,NONE,No,0.26
TXN002266,27859,PAY,user042@okbank,2026,3,26/03/26,16:32:00,MER0172,INTENT,13.0001750074,77.5287763158,No,NONE,No,0.04
TXN003611,26674,PAY,user035@okbank,2026,4,25/04/26,3:13:00,MER0192,MOBILE,12.935947189,77.6149076448,No,NONE,No,0.26
TXN004267,26905,PAY,user048@okbank,2026,6,15/06/26,12:03:00,MER0067,VPA,13.0747480603,77.5423198139,No,NONE,No,0.22
TXN003037,23098,PAY,user034@okbank,2026,1,07/01/26,9:35:00,MER0047,COLLECT,13.0053152581,77.5188318482,No,NONE,No,0.08
TXN004693,20162,PAY,user008@okbank,2026,3,03/03/26,8:42:00,MER0046,MOBILE,12.8952966062,77.5714669653,No,NONE,No,0.09
TXN004949,17518,PAY,user021@okbank,2026,4,08/04/26,14:46:00,MER0073,COLLECT,12.9169778543,77.6070563453,No,NONE,No,0.16
TXN001500,29253,PAY,user016@okbank,2026,5,01/05/26,12:19:00,MER0153,QR,12.9438293212,77.5497028314,No,NONE,No,0.28
TXN000572,29821,PAY,user030@okbank,2026,2,27/02/26,10:59:00,MER0124,MOBILE,13.0482927606,77.5102723087,No,NONE,No,0.07
TXN004110,8216,PAY,user047@okbank,2026,6,24/06/26,3:19:00,MER0078,INTENT,13.0069159908,77.5856635384,No,NONE,No,0.13
TXN001934,23704,PAY,user023@okbank,2026,6,20/06/26,6:15:00,MER0183,ACCOUNT_IFSC,13.0110168416,77.5863627924,No,NONE,No,0.14
TXN003939,16734,PAY,user015@okbank,2026,1,05/01/26,16:44:00,MER0138,IN_APP,13.0973852295,77.5773741727,No,NONE,No,0.32
TXN002731,3169,PAY,user030@okbank,2026,5,25/05/26,5:21:00,MER0010,MANDATE,13.0561368232,77.6845120956,No,NONE,No,0.04
TXN000129,59778,PAY,user036@okbank,2026,4,18/04/26,4:44:00,MER0177,ACCOUNT_IFSC,12.9649994996,77.4861550516,Yes,MULE_ACCOUNT,Yes,0.71
TXN000520,2923,PAY,user022@okbank,2026,3,06/03/26,18:38:00,MER0166,ACCOUNT_IFSC,12.9847785862,77.6167920376,No,NONE,No,0.14
TXN000591,13086,PAY,user030@okbank,2026,3,17/03/26,14:32:00,MER0190,ACCOUNT_IFSC,13.075405865,77.5451160752,No,NONE,No,0.29
TXN002971,13275,PAY,user008@okbank,2026,6,21/06/26,9:33:00,MER0005,MOBILE,12.9424774739,77.6603975834,No,NONE,No,0.12
TXN001338,100,PAY,user049@okbank,2026,2,18/02/26,2:02:00,MER0093,IN_APP,12.9703512097,77.5715690333,No,NONE,No,0.21
TXN001796,10212,PAY,user041@okbank,2026,4,09/04/26,23:05:00,MER0199,QR,13.0578928149,77.5703001925,No,NONE,No,0.28
TXN001120,5564,PAY,user008@okbank,2026,6,08/06/26,0:25:00,MER0111,COLLECT,12.9908414532,77.6150398076,No,NONE,No,0.32
TXN001174,11302,PAY,user039@okbank,2026,4,22/04/26,2:33:00,MER0161,COLLECT,12.9748340347,77.5097895833,No,NONE,No,0.15
TXN000838,100,PAY,user021@okbank,2026,4,02/04/26,19:06:00,MER0132,IN_APP,12.9324068428,77.4887325542,No,NONE,No,0.25
TXN001644,13682,PAY,user003@okbank,2026,2,22/02/26,3:07:00,MER0167,QR,13.0086350574,77.5812116539,No,NONE,No,0.45
TXN003621,17473,PAY,user020@okbank,2026,1,24/01/26,16:42:00,MER0115,MOBILE,12.9679324776,77.5048992889,No,NONE,No,0.39
TXN003851,16086,PAY,user005@okbank,2026,5,01/05/26,20:38:00,MER0013,COLLECT,13.0188331726,77.5290382858,No,NONE,No,0.42
TXN001768,23379,PAY,user033@okbank,2026,1,02/01/26,11:27:00,MER0116,MOBILE,13.0485730117,77.5741533373,No,NONE,No,0.34
TXN004643,29544,PAY,user027@okbank,2026,3,27/03/26,18:45:00,MER0036,ACCOUNT_IFSC,12.9395892493,77.5084803079,No,NONE,No,0.25
TXN003916,7887,PAY,user018@okbank,2026,2,15/02/26,7:41:00,MER0119,QR,12.9395350685,77.706048363,No,NONE,No,0.42
TXN000462,19088,PAY,user039@okbank,2026,1,19/01/26,11:33:00,MER0115,VPA,12.9939339875,77.5607720492,Yes,NONE,No,0.11
TXN002825,20194,PAY,user046@okbank,2026,2,14/02/26,16:27:00,MER0102,MANDATE,12.97775501,77.6565260119,No,NONE,No,0.2
TXN002894,21680,PAY,user007@okbank,2026,6,15/06/26,11:12:00,MER0180,ACCOUNT_IFSC,12.9826930513,77.5110759688,No,NONE,No,0.02
TXN004162,100,PAY,user031@okbank,2026,5,08/05/26,9:26:00,MER0019,QR,13.0558898145,77.6501886485,No,NONE,No,0.21
TXN002376,22683,PAY,user020@okbank,2026,1,28/01/26,7:08:00,MER0130,IN_APP,13.0233804905,77.5341783627,No,NONE,No,0.21
TXN002903,23459,PAY,user046@okbank,2026,3,27/03/26,16:52:00,MER0153,COLLECT,13.025315826,77.5819475495,No,NONE,No,0.29
TXN001560,5687,PAY,user015@okbank,2026,2,12/02/26,18:50:00,MER0051,COLLECT,13.0204126338,77.5343897704,No,NONE,No,0.41
TXN004302,14436,PAY,user048@okbank,2026,4,09/04/26,22:12:00,MER0131,IN_APP,12.9185851854,77.5968765305,No,NONE,No,0.3
TXN004776,14275,PAY,user030@okbank,2026,3,10/03/26,7:43:00,MER0145,INTENT,12.9627127599,77.623089767,No,NONE,No,0.28
TXN001779,20555,PAY,user011@okbank,2026,1,14/01/26,15:24:00,MER0188,VPA,12.9588143693,77.5415335868,No,NONE,No,0.28
TXN003726,23434,PAY,user049@okbank,2026,4,24/04/26,13:30:00,MER0038,QR,13.0087282351,77.542555313,No,NONE,No,0.2
TXN001754,16746,PAY,user045@okbank,2026,2,09/02/26,14:36:00,MER0085,VPA,12.9496319107,77.677869694,No,NONE,No,0.49
TXN001314,22832,PAY,user002@okbank,2026,5,26/05/26,4:33:00,MER0036,IN_APP,12.9452670686,77.5424243659,No,NONE,No,0.12
TXN001000,17345,PAY,user033@okbank,2026,5,11/05/26,15:21:00,MER0194,INTENT,12.9724040093,77.6240306831,No,NONE,No,0.32
TXN001756,100,PAY,user037@okbank,2026,1,04/01/26,9:22:00,MER0042,ACCOUNT_IFSC,13.0059467541,77.6148928531,No,NONE,No,0.29
TXN001257,12644,PAY,user007@okbank,2026,1,25/01/26,9:01:00,MER0086,MANDATE,12.946388902,77.6335118931,No,NONE,No,0.18
TXN002574,15588,PAY,user010@okbank,2026,5,15/05/26,2:55:00,MER0166,INTENT,12.9188499712,77.559946903,No,NONE,No,0.11
TXN003934,19680,PAY,user006@okbank,2026,1,07/01/26,15:32:00,MER0191,COLLECT,12.9327703941,77.5353168879,No,NONE,No,0.29
TXN004530,16342,PAY,user023@okbank,2026,3,11/03/26,5:50:00,MER0127,ACCOUNT_IFSC,13.0999085081,77.6199713814,No,NONE,No,0.22
TXN000381,14734,PAY,user025@okbank,2026,6,05/06/26,15:34:00,MER0028,MOBILE,12.9917481272,77.5852232043,No,NONE,No,0.2
TXN003353,26408,PAY,user001@okbank,2026,5,03/05/26,6:42:00,MER0111,IN_APP,13.0681038992,77.6243324844,No,NONE,No,0.25
TXN004958,25530,PAY,user003@okbank,2026,1,25/01/26,13:04:00,MER0094,IN_APP,12.9840164161,77.521541754,No,NONE,No,0.23
TXN004699,10523,PAY,user017@okbank,2026,5,15/05/26,22:16:00,MER0200,INTENT,12.9181350639,77.5820415823,No,NONE,No,0.45
TXN003029,30976,PAY,user013@okbank,2026,5,02/05/26,13:26:00,MER0143,ACCOUNT_IFSC,13.0290173588,77.6538057506,No,NONE,No,0.4
TXN002111,41751,PAY,user004@okbank,2026,2,13/02/26,4:38:00,MER0003,MOBILE,12.978486578,77.5757767637,No,NONE,No,0.26
TXN000829,23751,PAY,user010@okbank,2026,1,14/01/26,23:37:00,MER0142,INTENT,12.947790947,77.6411114207,No,NONE,No,0.23
TXN002403,6590,PAY,user033@okbank,2026,5,21/05/26,6:25:00,MER0172,ACCOUNT_IFSC,12.9237657487,77.6146139771,No,NONE,No,0.3
TXN003786,18298,PAY,user014@okbank,2026,2,26/02/26,0:52:00,MER0147,INTENT,12.9510956659,77.5686068405,No,NONE,No,0.38
TXN000730,29088,PAY,user033@okbank,2026,1,04/01/26,11:48:00,MER0118,IN_APP,12.9749362154,77.5995953614,No,NONE,No,0.33
TXN004590,13399,PAY,user031@okbank,2026,5,13/05/26,11:04:00,MER0129,VPA,13.0083078632,77.5562252436,No,NONE,No,0.27
TXN001769,35451,PAY,user044@okbank,2026,2,15/02/26,6:06:00,MER0001,MOBILE,12.921150099,77.5988124747,No,NONE,No,0.35
TXN002914,100,PAY,user019@okbank,2026,2,22/02/26,3:57:00,MER0089,MANDATE,12.9913765456,77.5963212269,No,NONE,No,0.3
TXN003204,10631,PAY,user003@okbank,2026,2,15/02/26,17:22:00,MER0064,QR,12.9937298315,77.5959672957,No,NONE,No,0.26
TXN001094,4945,PAY,user044@okbank,2026,5,04/05/26,19:16:00,MER0136,IN_APP,12.9946015733,77.5786343146,No,NONE,No,0.5
